HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,ForecastDate,yhat,yhat_lower,yhat_upper
S08000015,NHS Ayrshire & Arran,C6,Ophthalmology,New Outpatient,2020-01-01,72.26,48.34,95.89
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,Inpatient/Day case,2026-04-01,65.22,47.0,85.24
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,Inpatient/Day case,2026-05-01,69.53,49.66,88.13
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,Inpatient/Day case,2026-06-01,72.42,52.2,90.99
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,Inpatient/Day case,2026-07-01,74.25,56.11,92.87
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,Inpatient/Day case,2026-08-01,73.26,52.98,91.85
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,Inpatient/Day case,2026-09-01,72.65,53.38,91.87
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,New Outpatient,2026-04-01,63.71,46.16,79.68
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,New Outpatient,2026-05-01,67.96,50.51,85.15
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,New Outpatient,2026-06-01,71.23,54.53,88.21
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,New Outpatient,2026-07-01,72.63,56.66,88.05
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,New Outpatient,2026-08-01,71.89,56.17,87.9
S08000015,NHS Ayrshire & Arran,C7,Orthopaedics,New Outpatient,2026-09-01,72.73,55.0,88.68
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,Inpatient/Day case,2026-04-01,72.34,62.15,81.71
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,Inpatient/Day case,2026-05-01,75.68,65.48,85.43
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,Inpatient/Day case,2026-06-01,78.12,67.87,87.85
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,Inpatient/Day case,2026-07-01,77.37,67.27,87.8
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,Inpatient/Day case,2026-08-01,76.5,66.27,86.36
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,Inpatient/Day case,2026-09-01,73.14,63.28,83.17
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,New Outpatient,2026-04-01,42.48,29.35,56.39
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,New Outpatient,2026-05-01,45.31,31.92,58.08
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,New Outpatient,2026-06-01,46.8,33.45,59.4
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,New Outpatient,2026-07-01,47.19,34.63,60.77
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,New Outpatient,2026-08-01,46.91,34.26,59.09
S08000015,NHS Ayrshire & Arran,C8,Neurosurgery,New Outpatient,2026-09-01,46.63,34.6,60.35
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,Inpatient/Day case,2026-04-01,46.62,33.53,59.59
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,Inpatient/Day case,2026-05-01,48.21,35.06,61.12
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,Inpatient/Day case,2026-06-01,53.19,39.22,66.74
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,Inpatient/Day case,2026-07-01,53.54,40.27,66.99
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,Inpatient/Day case,2026-08-01,53.62,40.81,68.41
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,Inpatient/Day case,2026-09-01,54.03,39.45,67.44
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,New Outpatient,2026-04-01,74.49,59.96,89.92
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,New Outpatient,2026-05-01,78.4,64.97,93.62
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,New Outpatient,2026-06-01,83.0,69.09,97.8
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,New Outpatient,2026-07-01,83.98,68.7,98.49
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,New Outpatient,2026-08-01,83.41,69.03,98.93
S08000015,NHS Ayrshire & Arran,C9,Oral Surgery,New Outpatient,2026-09-01,83.08,67.06,97.0
S08000015,NHS Ayrshire & Arran,CA,Specialty (CA),Inpatient/Day case,2025-12-01,47.79,2.6,89.85
S08000015,NHS Ayrshire & Arran,CA,Specialty (CA),Inpatient/Day case,2026-01-01,25.12,0.0,69.4
S08000015,NHS Ayrshire & Arran,CA,Specialty (CA),Inpatient/Day case,2026-02-01,29.21,0.0,72.97
